folder_guid,folder_name,folder_path,file_guid,filename,filepath,status,file_type,file_size,processed_at,error_message
801aa850-79c4-4eba-8c65-dd74d8ac9b33,smith,C:\_sample\tree_test\20300123456\source\smith,5ef04505-4649-4714-b3e2-254c9a1f9d2d,document (2).pdf,C:\_sample\tree_test\20300123456\source\smith\document (2).pdf,completed,pdf,420098,2026-02-01T12:07:25.315461,
801aa850-79c4-4eba-8c65-dd74d8ac9b33,smith,C:\_sample\tree_test\20300123456\source\smith,9d6c340d-69d9-4b1f-b013-ab20d0b7801d,dummy_statement.pdf,C:\_sample\tree_test\20300123456\source\smith\dummy_statement.pdf,completed,pdf,183623,2026-02-01T12:07:25.315686,
801aa850-79c4-4eba-8c65-dd74d8ac9b33,smith,C:\_sample\tree_test\20300123456\source\smith,3035cb94-b0f0-4aa6-a4c6-8149013f90da,tiaa PDF_Participant-statement-sample2.pdf,C:\_sample\tree_test\20300123456\source\smith\tiaa PDF_Participant-statement-sample2.pdf,completed,pdf,1014752,2026-02-01T12:07:25.315908,
87d8ddca-f89f-41eb-ab59-143996c5b297,54321,C:\_sample\tree_test\20300123457\pdfs\54321,a80a5019-426b-49b2-8c79-fb9ec9f85edb,08_LP1_Financial-Document-Samples_01.28.19.pdf,C:\_sample\tree_test\20300123457\pdfs\54321\08_LP1_Financial-Document-Samples_01.28.19.pdf,completed,pdf,265266,2026-02-01T12:07:25.316233,
87d8ddca-f89f-41eb-ab59-143996c5b297,54321,C:\_sample\tree_test\20300123457\pdfs\54321,cc822d20-b811-45c3-a77b-15b49047154f,Commerce_statement_sample1.pdf,C:\_sample\tree_test\20300123457\pdfs\54321\Commerce_statement_sample1.pdf,completed,pdf,55071,2026-02-01T12:07:25.316425,
87d8ddca-f89f-41eb-ab59-143996c5b297,54321,C:\_sample\tree_test\20300123457\pdfs\54321,c3648cc7-9f12-41cf-9cbf-03f2686cb465,document (2).pdf,C:\_sample\tree_test\20300123457\pdfs\54321\document (2).pdf,completed,pdf,420098,2026-02-01T12:07:25.316611,
87d8ddca-f89f-41eb-ab59-143996c5b297,54321,C:\_sample\tree_test\20300123457\pdfs\54321,3320c6db-71e3-48f0-bc82-a283034deda9,dummy_statement.pdf,C:\_sample\tree_test\20300123457\pdfs\54321\dummy_statement.pdf,completed,pdf,183623,2026-02-01T12:07:25.316811,
5a86e55a-7666-4e35-8fb3-2b78b4f6aae9,jones,C:\_sample\tree_test\20300123457\pdfs\jones,a5299c0c-b78b-4684-aae5-40375c6e6c2d,08_LP1_Financial-Document-Samples_01.28.19.pdf,C:\_sample\tree_test\20300123457\pdfs\jones\08_LP1_Financial-Document-Samples_01.28.19.pdf,completed,pdf,265266,2026-02-01T12:07:25.317155,
5a86e55a-7666-4e35-8fb3-2b78b4f6aae9,jones,C:\_sample\tree_test\20300123457\pdfs\jones,703fbab1-36f0-4835-a12c-fb594dcafe6c,Commerce_statement_sample1.pdf,C:\_sample\tree_test\20300123457\pdfs\jones\Commerce_statement_sample1.pdf,completed,pdf,55071,2026-02-01T12:07:25.317349,
5a86e55a-7666-4e35-8fb3-2b78b4f6aae9,jones,C:\_sample\tree_test\20300123457\pdfs\jones,328d37af-8edc-4a06-a026-8cdafed5e502,document (2).pdf,C:\_sample\tree_test\20300123457\pdfs\jones\document (2).pdf,completed,pdf,420098,2026-02-01T12:07:25.317534,
